"도형번호","지형지물부호","관리번호","관리부서","CCTV구분","CCTV관리번호","개소명","행정읍면동","법정읍면동","법정읍면동리","번지","통신망","카메라 구분","위도(degree)","경도(degree)","X좌표","Y좌표","카메라 수","동/서","비고"
2828,AE134,4292,스마트도시과,CTV001,남양-4307,남양뉴타운근린공원1-1호(남양-4307),"41590262","41590262","4159026221","2214",남양뉴타운자가망, ,"37.202567","126.8334","185210.08130378","511506.712793174","3",CTM002, 
2829,AE134,4293,스마트도시과,CTV001,남양-4308,남양뉴타운근린공원2호(남양-4308),"41590262","41590262","4159026221","2194",남양뉴타운자가망, ,"37.211248","126.836324","185471.34438769","512469.721297829","4",CTM002, 
2830,AE134,4295,스마트도시과,CTV001,남양-4310,남양뉴타운근린공원4호(남양-4310),"41590262","41590262","4159026221","2255",남양뉴타운자가망, ,"37.210617","126.824517","184423.12010458","512401.53896194","3",CTM002, 
2832,AE134,4297,스마트도시과,CTV001,남양-4312,남양뉴타운근린공원6호(남양-4312),"41590262","41590262","4159026221","2254",남양뉴타운자가망, ,"37.201016","126.820841","184094.812685735","511336.689178882","4",CTM002, 
2833,AE134,4298,스마트도시과,CTV001,남양-4313,남양뉴타운근린공원9호(남양-4313),"41590262","41590262","4159026221","2313",남양뉴타운자가망, ,"37.199183","126.824383","184408.900406255","511132.666936535","3",CTM002, 
2834,AE134,4302,스마트도시과,CTV001,남양-04317,남양뉴타운-근린공원7호-1(남양-04317),"41590262","41590262","4159026221","2300-1",남양뉴타운자가망, ,"37.202383","126.8238","184357.802548263","511487.907674821","4",CTM002, 
2835,AE134,4303,스마트도시과,CTV001,남양-04318,남양뉴타운-근린공원7호-2(남양-04318),"41590262","41590262","4159026221","2318-1",남양뉴타운자가망, ,"37.201385","126.824919","184456.981706844","511376.871373999","4",CTM002, 
2836,AE134,4304,스마트도시과,CTV001,남양-04319,남양뉴타운-어린이공원1호(남양-04319),"41590262","41590262","4159026221","2203",남양뉴타운자가망, ,"37.204128","126.839833","185781.464319821","511679.007369606","4",CTM002, 
2837,AE134,4305,스마트도시과,CTV001,남양-04320,남양뉴타운-어린이공원2호(남양-04320),"41590262","41590262","4159026221","2211-1",남양뉴타운자가망, ,"37.204444","126.838142","185631.408650743","511714.332631425","4",CTM002, 
2838,AE134,4306,스마트도시과,CTV001,남양-04321,남양뉴타운-어린이공원3호(남양-04321),"41590262","41590262","4159026221","2220",남양뉴타운자가망, ,"37.208678","126.836253","185464.528725383","512184.517011531","4",CTM002, 
2839,AE134,4307,스마트도시과,CTV001,남양-04322,남양뉴타운-어린이공원4호(남양-04322),"41590262","41590262","4159026221","2234",남양뉴타운자가망, ,"37.210183","126.828339","184762.321921394","512352.787930124","4",CTM002, 
2840,AE134,4308,스마트도시과,CTV001,남양-04323,남양뉴타운-어린이공원6호(남양-04323),"41590262","41590262","4159026221","2250",남양뉴타운자가망, ,"37.209469","126.821964","184196.288624402","512274.591308434","4",CTM002, 
2841,AE134,4309,스마트도시과,CTV001,남양-04324,남양뉴타운-어린이공원7호(남양-04324),"41590262","41590262","4159026221","2286",남양뉴타운자가망, ,"37.206228","126.81895","183928.057508627","511915.406639755","4",CTM002, 
2842,AE134,4310,스마트도시과,CTV001,남양-04325,남양뉴타운-어린이공원10호(남양-04325),"41590262","41590262","4159026221","2157",남양뉴타운자가망, ,"37.195706","126.830433","184945.323233635","510745.772848242","4",CTM002, 
2844,AE134,4312,스마트도시과,CTV001,남양-04327,남양뉴타운-체육공원2호(남양-04327),"41590262","41590262","4159026221","2255",남양뉴타운자가망, ,"37.210686","126.826014","184556.043074245","512408.988201903","5",CTM002, 
2845,AE134,4313,스마트도시과,CTV001,남양-04328,남양뉴타운-체육공원3호(남양-04328),"41590262","41590262","4159026221","2255",남양뉴타운자가망, ,"37.211586","126.826264","184578.417635986","512508.831046666","4",CTM002, 
2846,AE134,4314,스마트도시과,CTV001,남양-04329,남양뉴타운-체육공원4호(남양-04329),"41590262","41590262","4159026221","2255",남양뉴타운자가망, ,"37.211947","126.827264","184667.25521745","512548.733151367","5",CTM002, 
2847,AE134,4315,스마트도시과,CTV001,남양-04330,남양뉴타운-체육공원5호(남양-04330),"41590262","41590262","4159026221","2255",남양뉴타운자가망, ,"37.212817","126.828731","184797.646715946","512645.050872781","3",CTM002, 
2848,AE134,4316,스마트도시과,CTV001,남양-04331,남양뉴타운-체육공원6호(남양-04331),"41590262","41590262","4159026221","2255",남양뉴타운자가망, ,"37.211489","126.8279","184723.616857554","512497.800769019","4",CTM002, 
