도형번호,지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,대장초기화여부,납품업체,로딩일자
14492,AE914,5.11308E+11,41590600,377130776B,MNG244,1, ,
14493,AE914,501906,41590570,377130174C,MNG244,1, ,
14494,AE914,505555,41590410,377131103C,MNG244,1, ,
14495,AE915,411444,41590585,377130287D,MNG244,1, ,
14496,AE914,301013,41590340,376150578A,MNG244,1, ,
14497,AE914,102144,41590560,376160557D,MNG244,1, ,
14498,AE914,104420,41590253,376160593B,MNG244,1, ,
14499,AE915,507735,41590410,377130661A,MNG244,1, ,
14500,AE914,504168,41590587,377130262C,MNG244,1, ,
14501,AE914,501778,41590570,377130172D,MNG244,1, ,
14502,AE914,110205,41590560,376160537D,MNG244,1, ,
14503,AE914,502268,41590530,377130178D,MNG244,1, ,
14504,AE914,105760,41590410,376161015A,MNG244,1, ,
14505,AE914,301080,41590340,376150579A,MNG244,1, ,
14506,AE914,301501,41590340,376150577B,MNG244,1, ,
